,city_name,date,latitude,longitude,temp,humidity,cloudiness,wind,country
0,sindor,1600658417,62.86,51.89,32.22,98,84,6.69,RU
1,barrow,1600658195,71.29,-156.79,33.8,69,90,12.75,US
2,vila franca do campo,1600658223,37.72,-25.43,66.2,82,75,12.75,PT
3,lagoa,1600658191,39.05,-27.98,66.45,76,100,17.47,PT
4,kilindoni,1600658418,-7.91,39.67,76.19,76,24,9.15,TZ
5,geraldton,1600658217,-28.77,114.6,66.2,42,75,12.75,AU
6,busselton,1600658186,-33.65,115.33,55.22,75,87,5.01,AU
7,grand gaube,1600658419,-20.01,57.66,73.99,67,96,10.0,MU
8,kapaa,1600658193,22.08,-159.32,80.29,74,40,10.29,US
9,qaanaaq,1600658242,77.48,-69.36,16.05,92,75,3.94,GL
10,rikitea,1600658187,-23.12,-134.97,72.66,76,46,22.66,PF
11,estevan,1600658419,49.13,-102.98,59.23,77,90,26.4,CA
12,atuona,1600658181,-9.8,-139.03,78.53,76,37,20.83,PF
13,avarua,1600658190,-21.21,-159.78,78.8,83,100,3.36,CK
14,ambon,1600658420,-3.7,128.18,82.42,76,7,8.43,ID
15,yaan,1600658420,7.38,8.57,72.16,94,99,4.0,NG
16,cape town,1600658192,-33.93,18.42,52.32,81,40,8.05,ZA
17,east london,1600658193,-33.02,27.91,59.0,51,99,23.04,ZA
18,hamilton,1600657831,39.18,-84.53,53.37,81,1,6.29,US
19,yellowknife,1600658182,62.46,-114.35,46.26,87,20,4.7,CA
20,sakaraha,1600658421,-22.9,44.53,63.79,49,0,5.48,MG
21,souillac,1600658201,-20.52,57.52,71.6,73,40,17.22,MU
22,chuy,1600658230,-33.7,-53.46,43.2,79,0,6.82,UY
23,saint george,1600658231,37.1,-113.58,86.0,17,1,3.36,US
24,ternate,1600658422,0.8,127.4,84.45,70,21,6.6,ID
25,lorengau,1600658212,-2.02,147.27,86.05,68,99,8.08,PG
26,bengkulu,1600658181,-3.8,102.27,85.59,64,10,4.29,ID
27,mandalgovi,1600658358,45.76,106.27,48.9,48,0,8.08,MN
28,nome,1600658202,64.5,-165.41,45.23,70,90,3.36,US
29,khatanga,1600657906,71.97,102.5,46.99,70,39,8.41,RU
30,victoria,1600658214,22.29,114.16,83.8,84,79,5.99,HK
31,vokhtoga,1600658424,58.81,41.05,44.91,85,100,12.06,RU
32,esperance,1600658184,-33.87,121.9,53.6,100,75,13.87,AU
33,darhan,1600658424,49.49,105.92,54.99,53,0,7.4,MN
34,hermanus,1600658217,-34.42,19.23,48.99,91,99,9.26,ZA
35,tasiilaq,1600658194,65.61,-37.64,26.78,88,100,6.91,GL
36,ukiah,1600658425,39.15,-123.21,71.11,33,1,4.7,US
37,faanui,1600658255,-16.48,-151.75,78.33,79,0,18.7,PF
38,aitape,1600658425,-3.14,142.35,82.99,79,91,6.11,PG
39,terney,1600658261,45.05,136.61,60.19,70,23,4.18,RU
40,arraial do cabo,1600658204,-22.97,-42.03,69.82,91,100,8.59,BR
41,sorland,1600658208,67.67,12.69,50.86,95,100,35.05,NO
42,severnyy,1600658426,50.68,36.55,41.0,75,0,6.71,RU
43,airai,1600657904,-8.93,125.41,77.22,60,6,6.58,TL
44,nikolskoye,1600658204,59.7,30.79,53.19,81,75,8.95,RU
45,albany,1600658182,42.6,-73.97,42.33,59,0,3.71,US
46,kloulklubed,1600658427,7.04,134.26,80.6,83,90,13.87,PW
47,caravelas,1600658285,-17.71,-39.25,71.89,92,7,5.64,BR
48,tokur,1600658427,53.13,132.9,59.83,45,0,1.03,RU
49,yar-sale,1600658428,66.83,70.83,48.94,90,99,18.66,RU
50,cordoba,1600658307,-31.41,-64.18,53.82,37,0,11.41,AR
51,norman wells,1600658262,65.28,-126.83,48.2,76,75,6.93,CA
52,bredasdorp,1600658226,-34.53,20.04,48.2,87,83,6.93,ZA
53,kovdor,1600658429,67.57,30.48,32.85,96,8,6.6,RU
54,kruisfontein,1600658194,-34.0,24.73,53.01,72,45,7.0,ZA
55,vaini,1600658199,-21.2,-175.2,75.2,83,75,12.75,TO
56,kondoa,1600658429,-4.9,35.78,57.36,92,35,6.26,TZ
57,batticaloa,1600658429,7.71,81.69,84.18,62,99,4.21,LK
58,saint-philippe,1600658184,-21.36,55.77,61.81,64,41,9.17,RE
59,provideniya,1600658191,64.38,-173.3,42.8,75,75,6.71,RU
60,muroto,1600658430,33.28,134.15,78.8,54,20,5.82,JP
61,kilosa,1600658431,-6.83,36.98,65.68,84,43,2.86,TZ
62,butaritari,1600658203,3.07,172.79,82.15,75,3,14.7,KI
63,hilo,1600658185,19.73,-155.09,78.64,54,1,8.05,US
64,isabela,1600658431,6.71,121.97,84.2,79,75,6.93,PH
65,mar del plata,1600658183,-38.0,-57.56,45.05,75,40,5.82,AR
66,sedlcany,1600658432,49.66,14.43,45.61,84,0,3.49,CZ
67,severo-kurilsk,1600658242,50.68,156.12,52.54,68,67,7.45,RU
68,bubaque,1600658432,11.28,-15.83,80.28,79,100,5.37,GW
69,cabo san lucas,1600657910,22.89,-109.91,82.76,78,20,4.54,MX
70,ponta do sol,1600658205,32.67,-17.1,65.62,77,40,4.7,PT
71,batsfjord,1600658433,70.63,29.72,35.6,83,68,6.93,NO
